time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message,orig_filename,matched_image,python_dtg
178100,2023-03-16 01:46:49,9.6844651691717,100.048583553473,97.440948,118.0774316,9.87702787512,127.95445947512,38.385828,2.4382646,293.714904412,3637.7297752,17,5,0,129.92296347512,99.409452,2.75367314,1132.73297588,-0.447388,-24.382646,0,90, 1.8, 4,0,0,1024,1024,1024,1024,0,0,0,0,75.8,-89.9,0,87,,,,,,,0,32,127.95445947512,97.440948,14,Waypoint,,KP_2023-03-16_08-43-Flight-Airdata.csv,KP_SE_23-03-16-S1_0369.JPG,2023-03-16 01:46:49
180100,2023-03-16 01:46:51,9.6844599915463,100.048387272668,98.4252,119.0616836,9.87702787512,128.93871147512,38.385828,2.3935258,363.72048408,3708.3662604,17,5,0,129.92296347512,99.409452,2.75367314,1132.73297588,0,-23.935258,0,90.1, 5.8, 3.1,0,0,1024,1024,1024,1024,0,0,0,0,75.8,-89.9,0,87,,,,,,,0,32,128.93871147512,98.4252,14,Waypoint,,KP_2023-03-16_08-43-Flight-Airdata.csv,KP_SE_23-03-16-S1_0370.JPG,2023-03-16 01:46:51
182100,2023-03-16 01:46:53,9.68446085522062,100.048189676623,99.081368,119.7178516,9.87702787512,129.59487947512,38.385828,2.4382646,434.12402964,3779.4292548,17,5,0,129.92296347512,99.409452,2.75367314,1132.73297588,0,-24.382646,0,90.1, 4.1, 4.5,0,0,1024,1024,1024,1024,0,0,0,0,75.8,-89.9,0,87,,,,,,,0,32,129.59487947512,99.081368,14,Waypoint,,KP_2023-03-16_08-43-Flight-Airdata.csv,KP_SE_23-03-16-S1_0371.JPG,2023-03-16 01:46:53
184100,2023-03-16 01:46:55,9.68446109874639,100.047991482089,99.409452,120.0459356,9.87702787512,129.92296347512,38.385828,2.4158952,504.94752272,3850.721908,18,5,0,129.92296347512,99.409452,2.75367314,1132.73297588,0,-24.158952,0.223694,90.1, 4.7, 3.9,0,0,1024,1024,1024,1024,0,0,0,0,75.8,-89.9,0,87,,,,,,,0,32,129.92296347512,99.409452,14,Waypoint,,KP_2023-03-16_08-43-Flight-Airdata.csv,KP_SE_23-03-16-S1_0372.JPG,2023-03-16 01:46:55
249700,2023-03-16 01:48:01,9.6847615873491,100.047589786587,97.769032,118.4055156,9.87702787512,128.28254347512,38.385828,2.23694,649.2618318,5659.9739344,18,5,0,130.25104747512,99.737536,2.75367314,1461.2533276,0,22.3694,0,88.6, -24.4, 5.6,0,0,1024,1024,1024,1024,0,0,0,0,75.8,-89.9,0,83,,,,,,,0,32,128.28254347512,97.769032,14,Waypoint,,KP_2023-03-16_08-43-Flight-Airdata.csv,KP_SE_23-03-16-S1_0396.JPG,2023-03-16 01:48:01
251800,2023-03-16 01:48:03,9.68476014583867,100.047783395403,97.769032,118.4055156,9.87702787512,128.28254347512,38.385828,2.2593094,579.88518916,5729.5933592,18,5,0,130.25104747512,99.737536,2.75367314,1461.2533276,-0.223694,22.593094,0,89.1, -24.7, 3.9,0,0,1024,1024,1024,1024,0,0,0,0,75.8,-89.9,0,82,,,,,,,0,32,128.28254347512,97.769032,14,Waypoint,,KP_2023-03-16_08-43-Flight-Airdata.csv,KP_SE_23-03-16-S1_0397.JPG,2023-03-16 01:48:03
254000,2023-03-16 01:48:05,9.68476164717249,100.047984462927,97.769032,118.4055156,9.87702787512,128.28254347512,38.385828,2.1698318,508.03151232,5801.9358812,18,5,0,130.25104747512,99.737536,2.75367314,1461.2533276,0.223694,21.698318,0,88.6, -24.1, 6,0,0,1024,1024,1024,1024,0,0,0,0,75.8,-90,0,82,,,,,,,0,32,128.28254347512,97.769032,14,Waypoint,,KP_2023-03-16_08-43-Flight-Airdata.csv,KP_SE_23-03-16-S1_0398.JPG,2023-03-16 01:48:05
256200,2023-03-16 01:48:08,9.68476503961335,100.04817943169,97.769032,118.4055156,9.87702787512,128.28254347512,38.385828,2.1698318,438.59581456,5872.047432,16,5,0,130.25104747512,99.737536,2.75367314,1461.2533276,0,21.698318,0,88.6, -24.1, 6.4,0,0,1024,1024,1024,1024,0,0,0,0,75.8,-89.9,0,82,,,,,,,0,32,128.28254347512,97.769032,14,Waypoint,,KP_2023-03-16_08-43-Flight-Airdata.csv,KP_SE_23-03-16-S1_0399.JPG,2023-03-16 01:48:08
502100,2023-03-16 01:52:14,9.68594857410076,100.046081592363,97.769032,118.4055156,9.87702787512,128.28254347512,38.385828,1.8790296,1286.33206216,12422.4413424,15,5,0,131.56338347512,101.049872,2.75367314,2192.28681556,0,18.790296,0,88.9, -24.6, 4,0,0,1024,1024,1024,1024,0,0,0,0,75.8,-89.9,0,65,,,,,,,0,32,128.28254347512,97.769032,14,Waypoint,,KP_2023-03-16_08-43-Flight-Airdata.csv,KP_SE_23-03-16-S1_0487.JPG,2023-03-16 01:52:14
504700,2023-03-16 01:52:16,9.68595070063768,100.046279718759,97.769032,118.4055156,9.87702787512,128.28254347512,38.385828,1.8342908,1221.07615456,12493.7011872,15,5,0,131.56338347512,101.049872,2.75367314,2192.28681556,0,18.342908,0,88.8, -24.4, 5.4,0,0,1024,1024,1024,1024,0,0,0,0,75.8,-90,0,65,,,,,,,0,32,128.28254347512,97.769032,14,Waypoint,,KP_2023-03-16_08-43-Flight-Airdata.csv,KP_SE_23-03-16-S1_0488.JPG,2023-03-16 01:52:16
575900,2023-03-16 01:53:27,9.68623409026391,100.044030338149,98.753284,119.3897676,9.87702787512,129.26679547512,38.385828,2.4158952,2016.54862096,14506.0372096,17,5,0,131.56338347512,101.049872,2.75367314,2192.28681556,0,-24.158952,0,90.3, 5, 6.7,0,0,1024,1024,1024,1024,0,0,0,0,75.8,-90,0,60,,,,,,,0,32,129.26679547512,98.753284,14,Waypoint,,KP_2023-03-16_08-43-Flight-Airdata.csv,KP_SE_23-03-16-S1_0515.JPG,2023-03-16 01:53:27
182100,2023-03-18 01:12:41,9.69338089616964,100.034144338959,100.06562,114.1076152,-5.362123203084,108.74549199692,37.72966,0.28185444,1592.35241316,5188.812502,17,5,0,110.71399599692,102.034124,2.75367314,2088.43838704,2.684328,0.894776,0.894776,91.7, -8.8, -19.5,0,0,1024,1024,1024,1024,0,0,0,0,90.2,-89.9,0,64,,,,,,,0,32,108.74549199692,100.06562,14,Waypoint,,KP_2023-03-18_08-09-Flight-Airdata.csv,KP_SW_23-03-18-S1_0705.JPG,2023-03-18 01:12:41
433400,2023-03-18 01:16:52,9.69427208611063,100.03334688906,99.737536,113.7795312,-5.362123203084,108.41740799692,37.72966,2.4382646,1167.9298274,12987.1395232,17,5,0,110.71399599692,102.034124,2.75367314,2394.52763568,0,-24.382646,0.223694,90.3, 6.5, 5.5,0,0,1024,1024,1024,1024,0,0,0,0,90.2,-89.9,0,45,,,,,,,0,32,108.41740799692,99.737536,14,Waypoint,,KP_2023-03-18_08-09-Flight-Airdata.csv,KP_SW_23-03-18-S1_0809.JPG,2023-03-18 01:16:52
574300,2023-03-18 01:33:58,9.69576368677258,100.031005090174,98.097116,112.1719196,-5.412188821484,106.75973077852,38.385828,2.2145706,167.736553924,17754.101618,18,5,0,109.71248677852,101.049872,2.5501116,3576.5093008,0,22.145706,0,89, -24.6, 4.7,0,0,1024,1024,1024,1024,0,0,0,0,90.3,-89.9,0,45,,,,,,,0,32,106.75973077852,98.097116,14,Waypoint,,KP_2023-03-18_08-24-Flight-Airdata.csv,KP_SW_23-03-18-S2_0140.JPG,2023-03-18 01:33:58
141600,2023-03-18 01:43:42,9.69635889544458,100.022606626028,97.769032,108.431762,-0.459008872956,107.97275312704,37.72966,2.2593094,1777.44756344,4020.66942,18,5,0,109.94125712704,99.737536,2.82078134,2892.41479072,-0.223694,22.593094,0,88.6, -23.9, 6.7,0,0,1024,1024,1024,1024,0,0,0,0,90.9,-89.9,0,87,,,,,,,0,32,107.97275312704,97.769032,14,Waypoint,,KP_2023-03-18_08-41-Flight-Airdata.csv,KP_SW_23-03-18-S2_0211.JPG,2023-03-18 01:43:42
143800,2023-03-18 01:43:44,9.69635724208234,100.022811295976,98.097116,108.759846,-0.459008872956,108.30083712704,37.72966,2.2816788,1704.150317,4094.2586612,18,5,0,109.94125712704,99.737536,2.82078134,2892.41479072,0,22.816788,0,88.4, -23.8, 6.8,0,0,1024,1024,1024,1024,0,0,0,0,90.9,-89.9,0,87,,,,,,,0,32,108.30083712704,98.097116,14,Waypoint,,KP_2023-03-18_08-41-Flight-Airdata.csv,KP_SW_23-03-18-S2_0212.JPG,2023-03-18 01:43:44
227100,2023-03-18 01:45:07,9.69665010107053,100.027602399138,98.753284,109.416014,-0.459008872956,108.95700512704,37.72966,0.22816788,46.540683904,6367.8479728,18,5,0,111.90976112704,101.70604,2.82078134,2892.41479072,-0.447388,-2.23694,0,90, 18.7, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,90.9,-89.9,0,81,,,,,,,0,32,108.95700512704,98.753284,14,Waypoint,,KP_2023-03-18_08-41-Flight-Airdata.csv,KP_SW_23-03-18-S2_0242.JPG,2023-03-18 01:45:07
277500,2023-03-18 01:45:57,9.69665204829792,100.022716587541,98.753284,109.416014,-0.459008872956,108.95700512704,37.72966,2.4158952,1732.37210268,8125.0658768,16,5,0,111.90976112704,101.70604,2.82078134,2892.41479072,0,-24.158952,0,90.2, 5.3, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,90.9,-89.9,0,78,,,,,,,0,32,108.95700512704,98.753284,14,Waypoint,,KP_2023-03-18_08-41-Flight-Airdata.csv,KP_SW_23-03-18-S2_0266.JPG,2023-03-18 01:45:57
279500,2023-03-18 01:45:59,9.69665178922331,100.022516928713,98.097116,108.759846,-0.459008872956,108.30083712704,37.72966,2.4382646,1804.16016272,8196.850656,17,5,0,111.90976112704,101.70604,2.82078134,2892.41479072,0,-24.382646,0,89.9, 4, 2.9,0,0,1024,1024,1024,1024,0,0,0,0,90.9,-89.9,0,78,,,,,,,0,32,108.30083712704,98.097116,14,Waypoint,,KP_2023-03-18_08-41-Flight-Airdata.csv,KP_SW_23-03-18-S2_0267.JPG,2023-03-18 01:45:59
493200,2023-03-18 01:49:33,9.69724623529222,100.021436467002,98.4252,109.08793,-0.459008872956,108.62892112704,37.72966,2.4382646,2199.56371868,14422.080514,18,5,0,111.90976112704,101.70604,2.82078134,3314.632652,0,-24.382646,0,90.1, 4.7, 3.7,0,0,1024,1024,1024,1024,0,0,0,0,90.9,-89.9,0,62,,,,,,,0,32,108.62892112704,98.4252,14,Waypoint,,KP_2023-03-18_08-41-Flight-Airdata.csv,KP_SW_23-03-18-S2_0346.JPG,2023-03-18 01:49:33
495200,2023-03-18 01:49:35,9.69724633795914,100.021237525161,98.4252,109.08793,-0.459008872956,108.62892112704,37.72966,2.4382646,2270.88589944,14493.6356344,18,5,0,111.90976112704,101.70604,2.82078134,3314.632652,0,-24.382646,0,90.1, 5.9, 3.6,0,0,1024,1024,1024,1024,0,0,0,0,90.9,-89.9,0,62,,,,,,,0,32,108.62892112704,98.4252,14,Waypoint,,KP_2023-03-18_08-41-Flight-Airdata.csv,KP_SW_23-03-18-S2_0347.JPG,2023-03-18 01:49:35
818000,2023-03-18 01:54:58,9.69903009322451,100.021004174629,97.440948,108.103678,-0.459008872956,107.64466912704,37.72966,2.4382646,2489.90821616,23765.7159836,19,5,0,111.90976112704,101.70604,2.82078134,3314.632652,0,-24.382646,0,89.9, 2.6, 4,0,0,1024,1024,1024,1024,0,0,0,0,90.9,-89.9,0,38,,,,,,,0,32,107.64466912704,97.440948,14,Waypoint,,KP_2023-03-18_08-41-Flight-Airdata.csv,KP_SW_23-03-18-S2_0471.JPG,2023-03-18 01:54:58
860900,2023-03-18 01:55:41,9.69932634826521,100.020737879982,99.081368,109.744098,-0.459008872956,109.28508912704,37.72966,1.2750558,2617.14575304,24951.5099848,19,5,0,111.90976112704,101.70604,2.82078134,3314.632652,0,12.750558,0,90.1, 11.6, 3.9,0,0,1024,1024,1024,1024,0,0,0,0,90.9,-89.9,0,35,,,,,,,0,32,109.28508912704,99.081368,14,Waypoint,,KP_2023-03-18_08-41-Flight-Airdata.csv,KP_SW_23-03-18-S2_0487.JPG,2023-03-18 01:55:41
864300,2023-03-18 01:55:44,9.69932733463511,100.020778466769,99.081368,109.744098,-0.459008872956,109.28508912704,37.72966,0.2796175,2603.65165812,24971.9168096,19,5,0,111.90976112704,101.70604,2.82078134,3314.632652,1.342164,-2.460634,0.223694,89.1, 13.9, -8.7,0,0,1024,1024,1024,1024,0,0,0,0,90.9,-89.9,0,35,,,,,,,0,32,109.28508912704,99.081368,14,Waypoint,,KP_2023-03-18_08-41-Flight-Airdata.csv,KP_SW_23-03-18-S2_0488.JPG,2023-03-18 01:55:44
